program,date,title,artist,album,label
bytefm-am-morgen,2020-03-01,You Ain't The Problem,Michael Kiwanuka,You Ain't The Problem (Single),Polydor
bytefm-am-morgen,2020-03-01,Un Million De Lagrimas,Claudya con Ramon Y Sus Showmen,Vampisoul Chicas Vol.02,Munster - Vampisoul
bytefm-am-morgen,2020-03-01,Number One Kid,Filewile,Mwcdpromo004,Mouthwatering
bytefm-am-morgen,2020-03-01,Discogedanken,Klaus Johann Grobe,Discogedanken (Single),Trouble In Mind Records
bytefm-am-morgen,2020-03-01,Black Bells,Wax Mannequin,No Safe Home,Cargo Records
bytefm-am-morgen,2020-03-01,Bodies At Bay,Cold Specks,Neuroplasticity,Mute
bytefm-am-morgen,2020-03-01,You Are Not An Island,Vanishing Twin,The Age Of Immunology,Fire Records
bytefm-am-morgen,2020-03-01,UNLVD,Socalled,Sleepover,Dare To Care Records
bytefm-am-morgen,2020-03-01,Kamo Kamo,Fat Freddy's Drop,Kamo Kamo (Single),The Drop
bytefm-am-morgen,2020-03-01,Talk To Me,Y'akoto,Tamba EP,Warner Music
bytefm-am-morgen,2020-03-01,Good Friday,CocoRosie,La Maison De Mon Reve,Touch & Go
bytefm-am-morgen,2020-03-01,Will You Love Me,Matthew E. White,Big Inner,Domino
bytefm-am-morgen,2020-03-01,What Good Is Moonlight,The Virgins,Strike Gently,Cult Records
bytefm-am-morgen,2020-03-01,Broken Record (Hackman Remix),Little Boots,Broken Record (Single),On Repeat
bytefm-am-morgen,2020-03-01,Bemerkenswerte Menschen,Die Regierung,Raus,Staatsakt
bytefm-am-morgen,2020-03-01,Take Me To The Riot,Stars,In Our Bedroom After The War,City Slang
bytefm-am-morgen,2020-03-01,Black Qualls (feat. Steve Lacy + Steve Arrington),Thundercat,Black Qualls (Single),Brainfeeder
bytefm-am-morgen,2020-03-01,Focus On Sight,Thievery Corporation,Memento: Music For And Inspired By The Film,Thrive Records
bytefm-am-morgen,2020-03-01,Laying Down Rock,Drinks,Hermits On Holiday,Birth Records
bytefm-am-morgen,2020-03-01,Die Stadt Der Reichen,Die Sterne,247,7 | Materie Records
bytefm-am-morgen,2020-03-01,Out Of Reach,Bananagun,Out Of Reach (Single),Full Time Hobby
bytefm-am-morgen,2020-03-01,Deception,Miles Davis,The Complete Birth Of The Cool,Capitol Jazz
bytefm-am-morgen,2020-03-01,Plastic Bag Brain,Ghostpoet,Some Say I So I Say Light,PIAS
bytefm-am-morgen,2020-03-01,Flaming Star,Elvis Presley,Elvis Sings Flaming Star,RCA Camden
bytefm-am-morgen,2020-03-01,Jazire (Isolée Remix),Amberoom,Jazire (Isolée Remix) (Single),TAU
bytefm-am-morgen,2020-03-01,Show Me More,Girl Ray,Show Me More (Single),Moshi Moshi
bytefm-am-morgen,2020-03-01,Ihr Kleines Herz,Mutter,Text Und Musik,Clouds Hill
bytefm-am-morgen,2020-03-01,Howl,Alexandra Savior,Howl (Single),30th Century Records
bytefm-am-morgen,2020-03-01,Overload,Georgia Anne Muldrow,Overload,Brainfeeder
bytefm-am-morgen,2020-03-01,Im Park und im Café,Die Wände,Im Park und im Café (Single),Späti Palace
bytefm-am-morgen,2020-03-01,Fauxbang,IVA,IVA EP,Other People
bytefm-am-morgen,2020-03-02,Room Temperature,Faye Webster,Room Temperature (Single),Secretly Canadian
bytefm-am-morgen,2020-03-02,Groove It Out,LoneLady,Groove It Out (Single),Warp
bytefm-am-morgen,2020-03-02,Sekundenschlaf (Feat. Peter Fox),Marteria,Zum Glück In Die Zukunft,Four
bytefm-am-morgen,2020-03-02,Vérité,Claire Laffut,Mojo EP,Universal
bytefm-am-morgen,2020-03-02,Talk Like That,The Presets,Apocalypso,Modular
bytefm-am-morgen,2020-03-02,Freiburg v3.0,Tocotronic VS Console,Wir L’age D’or Compilation,Lado
bytefm-am-morgen,2020-03-02,Come Get Me,Stephen Malkmus,Groove Denied,Domino
bytefm-am-morgen,2020-03-02,The Time Is Right For Love (45 Swing-O Remix),Gizelle Smith & The Mighty Mocambos,Seven Heven,BBE
bytefm-am-morgen,2020-03-02,Mashena,The Scorpios,Mashena,Samha | Mashena | Samha
bytefm-am-morgen,2020-03-02,Crying,TV On The Radio,Dear Science,4AD
bytefm-am-morgen,2020-03-02,Bitte Gehen Sie Weiter,Dauerfisch,Tausend Ganz Legale Steuertricks,Bungalow
bytefm-am-morgen,2020-03-02,Butterflycatcher,Arms & Sleepers,Black Paris 86,Expect Candy
bytefm-am-morgen,2020-03-02,Jeeper Creeper,Sinkane,Mars,City Slang
bytefm-am-morgen,2020-03-02,Sing To Me,Emika,Searching,Ninja Tune
bytefm-am-morgen,2020-03-02,I Bow Down,Pixx,I Bow Down (Single),4AD
bytefm-am-morgen,2020-03-02,Dip. Dap.,Siriusmo,Pearls & Embarrassments,Monkeytown
bytefm-am-morgen,2020-03-02,Mr Blue Sky,Mayer Hawthorne,Impressions - The Covers EP,Stones Throw
bytefm-am-morgen,2020-03-02,Humming Man,Men I Trust,Humming Man,Return To Analog
bytefm-am-morgen,2020-03-02,My Propeller,Arctic Monkeys,Humbug,Domino
bytefm-am-morgen,2020-03-02,Desert Man,Rooftop Runners,Alluvium,Motor Music
bytefm-am-morgen,2020-03-02,Rendezvous (Instrumental),Jazzanova,The Space In Between Vol. 16,Sonar Kollektiv
bytefm-am-morgen,2020-03-02,You've Got A Woman (Lion Cover),Whitney,You’ve Got A Woman (Lion Cover) (Single),Secretly Canadian
bytefm-am-morgen,2020-03-02,Miete Strom Gas,Die Tueren,Exoterik,Staatsakt
bytefm-am-morgen,2020-03-02,I See Red,Frida,Something's Going On,Polar Music
bytefm-am-morgen,2020-03-02,Blue Velvet,Childhood,Lacuna,PIAS
bytefm-am-morgen,2020-03-02,I See The White,Jess Williamson,Cosmic Wink,Mexican Summer
bytefm-am-morgen,2020-03-02,Alles Was Du Verlierst,Die Regierung,Was,Staatsakt
bytefm-am-morgen,2020-03-02,Rock Your Baby,Emerson Kitamura & MMM,The Countryside Is Great EP,EM Records
bytefm-am-morgen,2020-03-02,Call It Off,Shamir,Call It Off,XL
bytefm-am-morgen,2020-03-02,Rest Of Our Lives,Dum Dum Girls,I Will Be,Sub Pop
bytefm-am-morgen,2020-03-02,Lean On Me,Bill Withers,Best Of Bill Withers: Lean On Me,Columbia
bytefm-am-morgen,2020-03-02,Pink Slime,Ariel Pink's Haunted Graffiti,Mature Themes,4AD
bytefm-am-morgen,2020-03-02,(Sittin' On) The Dock Of The Bay,Otis Redding,The Stax Story: The Hits,Stax
bytefm-am-morgen,2020-03-02,Looking For Love,Chromatics,Looking For Love,Italians Do It Better
bytefm-am-morgen,2020-03-03,Der Sommer in die Stadt wird fahren,Die Sterne,Die Sterne,PIAS
bytefm-am-morgen,2020-03-03,God Has A Voice...,CocoRosie,God Has a Voice...,Touch And Go
bytefm-am-morgen,2020-03-03,Giovanni,Jamila Woods,Giovanni (Single),Jagjaguwar
bytefm-am-morgen,2020-03-03,Heart And A Month Ago,Paula & Karol,Whole Again,Lado Abc
bytefm-am-morgen,2020-03-03,I Want You So Bad,Orion,I Want You So Bad (Single),Italians Do It Better
bytefm-am-morgen,2020-03-03,Next Time You See Me,Jr. Parker,The Long Kiss Goodnight (Soundtrack),MCA
bytefm-am-morgen,2020-03-03,Past Perfect,Wild Beasts,Present Tense,Domino
bytefm-am-morgen,2020-03-03,Autogrill,Euroteuro,Vol. 1,Siluh
bytefm-am-morgen,2020-03-03,Club Bob Needed More Sex Drugs,Suff Daddy,Probably Broccoli,Club Bob Needed More Sex Drugs (Single) | Jakarta Records
bytefm-am-morgen,2020-03-03,Don't Let Get You Down,Wajatta,Don't Let Get You Down (Single),Brainfeeder
bytefm-am-morgen,2020-03-03,Do You Remember,Chance The Rapper,Do You Remember,self-released
bytefm-am-morgen,2020-03-03,Cellular,King Krule,Man Alive!,XL Recordings
bytefm-am-morgen,2020-03-03,That Don't Mean,TrueMendous,That Don't Mean (Single),True Focus Records
bytefm-am-morgen,2020-03-03,Lick in Heaven,Jessy Lanza,Lick in Heaven (Single),Hyperdub
bytefm-am-morgen,2020-03-03,Symbol,Adrianne Lenker,Abysskiss,Saddle Creek
bytefm-am-morgen,2020-03-03,Underwater Lady [Feat. Kirsty Hawkshaw],Harmonic 33,Extraordinary People,Alphabet Zoo
bytefm-am-morgen,2020-03-03,Clocks,Coldplay,A Rush Of Blood To The Head,Parlophone
bytefm-am-morgen,2020-03-03,Waiting For Grace (feat. Laetitia Sadier),Marker Starling,Waiting For Grace (Single),Tin Angel Records
bytefm-am-morgen,2020-03-03,Salt & Pepper,Dope Lemon,Smooth Big Cat,BMG
bytefm-am-morgen,2020-03-03,For The Season,Clinic,Free Reign,Domino
bytefm-am-morgen,2020-03-03,In The Air,Allah-Las,Lahs,Mexican Summer
bytefm-am-morgen,2020-03-03,Heads Will Roll,Yeah Yeah Yeahs,It's Blitz,Polydor
bytefm-am-morgen,2020-03-03,Due West,Kelsey Lu,Blood,Columbia
bytefm-am-morgen,2020-03-03,Kiss My Lips (feat. Princess Chelsea),Jonathan Bree,Kiss My Lips (Single),Jonathan Bree
bytefm-am-morgen,2020-03-03,Crumbs Off The Table (Feat. Aaron Livingston),RJD2,The Colossus,R J Electrical Connections
bytefm-am-morgen,2020-03-03,No Black In The Union Jack,Ebony Bones,Nephilim,1984 Records
bytefm-am-morgen,2020-03-03,You Got Me,Scuba,Triangulation,Hotflush
bytefm-am-morgen,2020-03-03,How Much,Tiny Ruins,How Much (Single),Marathon Artists
bytefm-am-morgen,2020-03-03,With Every Heartbeat (Featuring Robyn),Kleerup,Kleerup,Virgin
bytefm-am-morgen,2020-03-03,Good Life (Radio Edit),Delphic,Good Life,Universal
bytefm-am-morgen,2020-03-03,Antelope,Diagrams,Black Light,Full Time Hobby
bytefm-am-morgen,2020-03-03,Um raus zu sein,Moritz Krämer,Ich hab einen Vertrag unterschreiben 1&2,Tapete
bytefm-am-morgen,2020-03-03,Terrorize My Heart (Disco Dub),79.5,,
